Name,Measure,Measure Info,Geo Place Name,Time Period,Start_Date,Data Value
Nitrogen dioxide (NO2),Mean,ppb,Bedford Stuyvesant - Crown Heights,Annual Average 2011,12/01/2010,25.3
Nitrogen dioxide (NO2),Mean,ppb,Bedford Stuyvesant - Crown Heights,Annual Average 2009,12/01/2008,26.93
Nitrogen dioxide (NO2),Mean,ppb,East New York,Annual Average 2015,01/01/2015,19.09
Nitrogen dioxide (NO2),Mean,ppb,Fordham - Bronx Pk,Annual Average 2015,01/01/2015,19.76
Nitrogen dioxide (NO2),Mean,ppb,Pelham - Throgs Neck,Annual Average 2009,12/01/2008,22.83
Nitrogen dioxide (NO2),Mean,ppb,Pelham - Throgs Neck,Annual Average 2020,01/01/2020,16.19
Nitrogen dioxide (NO2),Mean,ppb,Chelsea-Village,Annual Average 2009,12/01/2008,38.16
Nitrogen dioxide (NO2),Mean,ppb,Chelsea-Village,Annual Average 2011,12/01/2010,34.96
Nitrogen dioxide (NO2),Mean,ppb,Borough Park,Winter 2010-11,12/01/2010,30.1
Nitrogen dioxide (NO2),Mean,ppb,Borough Park,Annual Average 2013,12/01/2012,20.23
Nitrogen dioxide (NO2),Mean,ppb,High Bridge - Morrisania,Annual Average 2013,12/01/2012,23.73
Nitrogen dioxide (NO2),Mean,ppb,High Bridge - Morrisania,Winter 2014-15,12/01/2014,26
Nitrogen dioxide (NO2),Mean,ppb,High Bridge - Morrisania,Annual Average 2021,01/01/2021,18.04
Nitrogen dioxide (NO2),Mean,ppb,Bensonhurst - Bay Ridge,Winter 2010-11,12/01/2010,28.44
Nitrogen dioxide (NO2),Mean,ppb,Bensonhurst - Bay Ridge,Summer 2009,06/01/2009,18.95
Nitrogen dioxide (NO2),Mean,ppb,Coney Island - Sheepshead Bay,Summer 2009,06/01/2009,15.22
Nitrogen dioxide (NO2),Mean,ppb,Coney Island - Sheepshead Bay,Winter 2010-11,12/01/2010,25.7
Nitrogen dioxide (NO2),Mean,ppb,Coney Island - Sheepshead Bay,Annual Average 2013,12/01/2012,16.36
Nitrogen dioxide (NO2),Mean,ppb,Rockaways,Annual Average 2021,01/01/2021,11.41
Nitrogen dioxide (NO2),Mean,ppb,Mott Haven and Melrose (CD1),Annual Average 2017,01/01/2017,21.25
Nitrogen dioxide (NO2),Mean,ppb,Financial District (CD1),Winter 2014-15,12/01/2014,30.4
Nitrogen dioxide (NO2),Mean,ppb,Financial District (CD1),Annual Average 2021,01/01/2021,21.61
Nitrogen dioxide (NO2),Mean,ppb,Greenwich Village and Soho (CD2),Winter 2010-11,12/01/2010,36.79
Nitrogen dioxide (NO2),Mean,ppb,Greenwich Village and Soho (CD2),Summer 2009,06/01/2009,31.63
Nitrogen dioxide (NO2),Mean,ppb,Greenwich Village and Soho (CD2),Annual Average 2013,12/01/2012,29.27
Nitrogen dioxide (NO2),Mean,ppb,Woodside and Sunnyside (CD2),Winter 2014-15,12/01/2014,26.28
Nitrogen dioxide (NO2),Mean,ppb,Woodside and Sunnyside (CD2),Annual Average 2021,01/01/2021,20.21
Nitrogen dioxide (NO2),Mean,ppb,Bedford Stuyvesant - Crown Heights,Winter 2009-10,12/01/2009,28.86
Nitrogen dioxide (NO2),Mean,ppb,East New York,Summer 2017,06/01/2017,13.39
